,YEAR,TICKETS SOLD,TOTAL BOX OFFICE,TOTAL INFLATION ADJUSTED BOX OFFICE,AVERAGE TICKET PRICE,Total Box Office Numeric
0,2021,423774881,"$3,881,777,912","$3,881,777,912",$9.16,3881777912
1,2020,223638958,"$2,048,534,616","$2,048,534,616",$9.16,2048534616
2,2019,1228541629,"$11,253,443,955","$11,253,444,050",$9.16,11253443955
3,2018,1311536128,"$11,948,096,650","$12,013,670,952",$9.11,11948096650
4,2017,1225639761,"$10,993,991,460","$11,226,860,216",$8.97,10993991460
5,2016,1302556378,"$11,267,115,924","$11,931,416,424",$8.65,11267115924
6,2015,1323356776,"$11,155,900,636","$12,121,948,075",$8.43,11155900636
7,2014,1257402920,"$10,272,985,008","$11,517,810,744",$8.17,10272985008
8,2013,1339168926,"$10,887,446,341","$12,266,787,382",$8.13,10887446341
9,2012,1380921942,"$10,992,141,616","$12,649,244,986",$7.96,10992141616
10,2011,1282915168,"$10,173,519,704","$11,751,502,955",$7.93,10173519704
11,2010,1328549021,"$10,482,254,025","$12,169,509,032",$7.89,10482254025
12,2009,1418567388,"$10,639,257,284","$12,994,051,137",$7.50,10639257284
13,2008,1358042073,"$9,750,744,148","$12,439,665,380",$7.18,9750744148
14,2007,1420036680,"$9,769,854,914","$13,007,535,993",$6.88,9769854914
15,2006,1398738283,"$9,161,738,221","$12,812,442,671",$6.55,9161738221
16,2005,1372980280,"$8,800,805,718","$12,576,499,367",$6.41,8800805718
17,2004,1495651298,"$9,287,996,519","$13,700,165,883",$6.21,9287996519
18,2003,1524589620,"$9,193,277,289","$13,965,240,914",$6.03,9193277289
19,2002,1575756527,"$9,155,147,215","$14,433,929,789",$5.81,9155147215
20,2001,1465874205,"$8,296,849,636","$13,427,407,722",$5.66,8296849636
21,2000,1397460079,"$7,532,311,479","$12,800,734,319",$5.39,7532311479
22,1999,1444664086,"$7,338,894,852","$13,233,123,027",$5.08,7338894852
23,1998,1443832471,"$6,771,575,283","$13,225,505,439",$4.69,6771575283
24,1997,1357349648,"$6,230,235,770","$12,433,322,785",$4.59,6230235770
25,1996,1305221290,"$5,769,078,886","$11,955,781,912",$4.42,5769078886
26,1995,1221705907,"$5,314,421,390","$11,190,826,105",$4.35,5314421390
